Type        | Z0.IAddressable                                                       | Characterizes an address-identified target
Field       | Z0.CilSpecs.OperandType.ShortInlineBrTarget                           | 1-byte relative instruction offset
Field       | Z0.CilSpecs.OperandType.ShortInlineI                                  | 1-byte sbyte (<see cref="F:Z0.CilSpecs.Code.Ldc_I4_S" />) or byte (the rest)
Field       | Z0.CilSpecs.OperandType.ShortInlineR                                  | 32-bit real
Field       | Z0.CilSpecs.OperandType.ShortInlineVar                                | 1-byte param/local index
Type        | Z0.CilSpecs.StackBehaviour                                            | CIL opcode stack behavior
Field       | Z0.CilSpecs.StackBehaviour.Pop0                                       | 
Field       | Z0.CilSpecs.StackBehaviour.Pop1                                       | 
Field       | Z0.CilSpecs.StackBehaviour.Pop1_pop1                                  | 
Field       | Z0.CilSpecs.StackBehaviour.Popi                                       | 
Field       | Z0.CilSpecs.StackBehaviour.Popi_pop1                                  | 
Field       | Z0.CilSpecs.StackBehaviour.Popi_popi                                  | 
Field       | Z0.CilSpecs.StackBehaviour.Popi_popi8                                 | 
Field       | Z0.CilSpecs.StackBehaviour.Popi_popi_popi                             | 
Field       | Z0.CilSpecs.StackBehaviour.Popi_popr4                                 | 
Field       | Z0.CilSpecs.StackBehaviour.Popi_popr8                                 | 
Field       | Z0.CilSpecs.StackBehaviour.Popref                                     | 
Field       | Z0.CilSpecs.StackBehaviour.Popref_pop1                                | 
Field       | Z0.CilSpecs.StackBehaviour.Popref_popi                                | 
Field       | Z0.CilSpecs.StackBehaviour.Popref_popi_popi                           | 
Field       | Z0.CilSpecs.StackBehaviour.Popref_popi_popi8                          | 
Field       | Z0.CilSpecs.StackBehaviour.Popref_popi_popr4                          | 
Field       | Z0.CilSpecs.StackBehaviour.Popref_popi_popr8                          | 
Field       | Z0.CilSpecs.StackBehaviour.Popref_popi_popref                         | 
Field       | Z0.CilSpecs.StackBehaviour.Push0                                      | 
Field       | Z0.CilSpecs.StackBehaviour.Push1                                      | 
Field       | Z0.CilSpecs.StackBehaviour.Push1_push1                                | 
Field       | Z0.CilSpecs.StackBehaviour.Pushi                                      | 
Field       | Z0.CilSpecs.StackBehaviour.Pushi8                                     | 
Field       | Z0.CilSpecs.StackBehaviour.Pushr4                                     | 
Field       | Z0.CilSpecs.StackBehaviour.Pushr8                                     | 
Field       | Z0.CilSpecs.StackBehaviour.Pushref                                    | 
Field       | Z0.CilSpecs.StackBehaviour.Varpop                                     | 
Field       | Z0.CilSpecs.StackBehaviour.Varpush                                    | 
Field       | Z0.CilSpecs.StackBehaviour.Popref_popi_pop1                           | 
Field       | Z0.CilSpecs.StackBehaviour.PopAll                                     | 
Method      | Z0.Clr.type``1(System.Type)                                           | Embeds a clr type descriptor within a parametric data adapter
Method      | Z0.Clr.property``1(System.Reflection.PropertyInfo)                    | Embeds a clr property descriptor within a parametric data adapter
Type        | Z0.ClrEnum`1                                                          | Represents a parametrically-identified clr enum
Type        | Z0.ClrStruct`1                                                        | Represents a parametrically-identified clr struct
Type        | Z0.ClrType`1                                                          | Represents a parametrically-identified clr type
Type        | Z0.IClrEnum                                                           | Characterizes a model of a clr enum type
Type        | Z0.IClrEnum`1                                                         | Characterizes an F-bound polyorphic enum model reification
Type        | Z0.IClrEnum`2                                                         | Characterizes a subject-parametric type model
Type        | Z0.IClrEnum`3                                                         | Characterizes an F-bound polymorphic and subject-parametric enum model
Type        | Z0.IClrRaw                                                            | Characterizes a model of an unmanaged type
Type        | Z0.IClrRaw`1                                                          | Characterizes an F-bound polyorphic unmanaged type model reification
Type        | Z0.IClrRaw`2                                                          | Characterizes a subject-parametric model of an unmanaged type
Type        | Z0.IClrRaw`3                                                          | Characterizes an F-bound polymorphic and subject-parametric model of an unmanaged type
Type        | Z0.IClrType                                                           | Characterizes a model of a CLR type
Property    | Z0.IClrType.IsEmpty                                                   | Indicates whether the model is empty and thus models nothing
Property    | Z0.IClrType.NestedTypes                                               | Models of the types nested within the subject, if any
Type        | Z0.IClrType`1                                                         | Characterizes an F-bound polyorphic type model reification
Type        | Z0.IClrType`2                                                         | Characterizes a subject-parametric type model
Property    | Z0.IClrType`2.Untyped                                                 | The equivalent non-parametric model
Type        | Z0.IClrType`3                                                         | Characterizes an F-bound polymorphic and subject-parametric type model
Type        | Z0.IClrStruct                                                         | Characterizes a model of a struct type
Type        | Z0.IClrClass                                                          | Characterizes a model of a class type
Type        | Z0.IClrDelegate                                                       | Characterizes a model of a delegate type
Field       | Z0.ModifierFacetKind.Const                                            | Member is const
Field       | Z0.ModifierFacetKind.Static                                           | Type or member is static
Field       | Z0.ArtifactFacetKind.Const                                            | Member is const
Field       | Z0.ArtifactFacetKind.Static                                           | Type or member is static
Field       | Z0.ArtifactFacetKind.Instance                                         | Member is non-static
Field       | Z0.ArtifactFacetKind.Public                                           | Access to target is unrestricted
Field       | Z0.ArtifactFacetKind.Private                                          | Target is accessible from the containing type
Field       | Z0.ArtifactFacetKind.Protected                                        | Target is accessible from the declaring type or subtypes
Field       | Z0.ArtifactFacetKind.Internal                                         | Target is accessible from the declaring assembly
Field       | Z0.ArtifactFacetKind.ProtectedInternal                                | Target is accessible from the current assembly or from types that are derived from the containing class
Field       | Z0.ArtifactFacetKind.PrivateProtected                                 | Target is accessible from the containing class or types derived from the containing class within the current assembly
